﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,44.963,"[""diamond"",""green"",""vert"",""up"",[0,-150],[106,106]]",diamond,green,vert,up,"[0,-150]","[106,106]",up,1,2.3076,0,0,0,0,1,001,2025-03-10_18h41.28.681,SL_sali_41,2021.2.3,Win32,243.902439,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-150,0],[-106,-106]]",diamond,red,hori,left,"[-150,0]","[-106,-106]",up,0,2.9163,1,0,1,0,1,001,2025-03-10_18h41.28.681,SL_sali_41,2021.2.3,Win32,243.902439,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-150,0],[-106,-106]]",diamond,red,vert,up,"[-150,0]","[-106,-106]",left,0,1.5029,2,0,2,0,1,001,2025-03-10_18h41.28.681,SL_sali_41,2021.2.3,Win32,243.902439,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-150,0],[-106,106]]",diamond,red,vert,up,"[-150,0]","[-106,106]",up,1,1.983,3,0,3,0,1,001,2025-03-10_18h41.28.681,SL_sali_41,2021.2.3,Win32,243.902439,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[150,0],[106,106]]",diamond,green,vert,up,"[150,0]","[106,106]",up,1,2.5786,4,0,4,0,1,001,2025-03-10_18h41.28.681,SL_sali_41,2021.2.3,Win32,243.902439,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[106,-106]]",circle,no_dis,hori,left,"[99999,99999]","[106,-106]",,0,,5,0,5,0,1,001,2025-03-10_18h41.28.681,SL_sali_41,2021.2.3,Win32,243.902439,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,-106],[106,106]]",circle,red,hori,left,"[106,-106]","[106,106]",up,0,1.275,6,0,6,0,1,001,2025-03-10_18h41.28.681,SL_sali_41,2021.2.3,Win32,243.902439,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[106,106],[0,-150]]",circle,red,vert,up,"[106,106]","[0,-150]",,0,,7,0,7,0,1,001,2025-03-10_18h41.28.681,SL_sali_41,2021.2.3,Win32,243.902439,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[0,-150],[-106,-106]]",circle,red,vert,up,"[0,-150]","[-106,-106]",up,1,0.6436,8,0,8,0,1,001,2025-03-10_18h41.28.681,SL_sali_41,2021.2.3,Win32,243.902439,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,-150],[-150,0]]",circle,red,hori,left,"[0,-150]","[-150,0]",left,1,2.9429,9,0,9,0,1,001,2025-03-10_18h41.28.681,SL_sali_41,2021.2.3,Win32,243.902439,,,,,,,,,,,,,,,
