﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,26.9718,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",circle,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,1.1045,0,0,0,0,1,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,106]",up,1,1.5159,1,0,1,0,1,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,150],[-150,0]]",diamond,red,hori,left,"[0,150]","[-150,0]",left,1,1.2342,2,0,2,0,1,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-106,-106],[106,106]]",diamond,green,vert,up,"[-106,-106]","[106,106]",up,1,0.8202,3,0,3,0,1,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[106,-106],[0,150]]",circle,red,vert,up,"[106,-106]","[0,150]",up,1,1.192,4,0,4,0,1,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,-106]",up,1,0.7005,5,0,5,0,1,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,106],[0,-150]]",circle,green,hori,left,"[-106,106]","[0,-150]",left,1,0.8837,6,0,6,0,1,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[106,-106]]",circle,no_dis,hori,left,"[99999,99999]","[106,-106]",left,1,0.651,7,0,7,0,1,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[-106,106]]",diamond,no_dis,hori,left,"[99999,99999]","[-106,106]",left,1,2.2065,8,0,8,0,1,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[0,-150],[150,0]]",circle,green,vert,up,"[0,-150]","[150,0]",left,0,1.3716,9,0,9,0,1,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",circle,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,0.6671,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,space,5.1493,0,0,0,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,106]",up,1,0.9748,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,1,0,1,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,150],[-150,0]]",diamond,red,hori,left,"[0,150]","[-150,0]",left,1,1.4162,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,2,0,2,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-106,-106],[106,106]]",diamond,green,vert,up,"[-106,-106]","[106,106]",up,1,0.8364,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,3,0,3,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[106,-106],[0,150]]",circle,red,vert,up,"[106,-106]","[0,150]",up,1,0.8114,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,4,0,4,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,-106]",up,1,0.8821,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,5,0,5,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,106],[0,-150]]",circle,green,hori,left,"[-106,106]","[0,-150]",left,1,0.7963,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,6,0,6,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[106,-106]]",circle,no_dis,hori,left,"[99999,99999]","[106,-106]",left,1,0.8022,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,7,0,7,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[-106,106]]",diamond,no_dis,hori,left,"[99999,99999]","[-106,106]",left,1,1.3252,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,8,0,8,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[0,-150],[150,0]]",circle,green,vert,up,"[0,-150]","[150,0]",up,1,0.8518,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,9,0,9,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,106],[-150,0]]",circle,red,hori,left,"[106,106]","[-150,0]",left,1,0.9086,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,10,0,10,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[106,-106],[-150,0]]",diamond,red,vert,up,"[106,-106]","[-150,0]",up,1,1.8903,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,11,0,11,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-106,106]]",circle,no_dis,hori,left,"[99999,99999]","[-106,106]",left,1,0.7755,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,12,0,12,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,-106],[-150,0]]",circle,red,hori,left,"[106,-106]","[-150,0]",left,1,1.1442,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,13,0,13,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[0,150]]",circle,no_dis,hori,left,"[99999,99999]","[0,150]",left,1,0.6673,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,14,0,14,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-106,106],[150,0]]",diamond,green,vert,up,"[-106,106]","[150,0]",up,1,1.2112,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,15,0,15,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[106,-106],[-106,-106]]",diamond,red,hori,left,"[106,-106]","[-106,-106]",left,1,1.264,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,16,0,16,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[106,106],[-106,106]]",circle,red,vert,up,"[106,106]","[-106,106]",up,1,1.4017,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,17,0,17,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[106,-106],[150,0]]",circle,red,vert,up,"[106,-106]","[150,0]",up,1,1.5277,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,18,0,18,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[106,106],[0,-150]]",circle,green,hori,left,"[106,106]","[0,-150]",left,1,0.6916,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,19,0,19,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",circle,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,0.9169,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,20,0,20,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-106,106],[-106,-106]]",diamond,green,vert,up,"[-106,106]","[-106,-106]",up,1,1.0825,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,21,0,21,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,106],[0,150]]",circle,red,vert,up,"[-106,106]","[0,150]",up,1,1.1179,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,22,0,22,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[0,-150],[-150,0]]",circle,green,vert,up,"[0,-150]","[-150,0]",up,1,1.2138,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,23,0,23,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,150]",up,1,1.0217,,,,,,001,2025-03-10_20h24.58.980,SL_sali_41,2021.2.3,Win32,120.4819277,,,24,0,24,0,1,,,,,,,,
