﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,57.2418,"[""diamond"",""red"",""hori"",""left"",[150,0],[-150,0]]",diamond,red,hori,left,"[150,0]","[-150,0]",left,1,1.5615,0,0,0,0,1,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[106,-106]",up,1,1.9167,1,0,1,0,1,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[150,0],[0,-150]]",circle,red,vert,up,"[150,0]","[0,-150]",left,0,1.644,2,0,2,0,1,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,1.3779,3,0,3,0,1,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[0,150],[106,-106]]",diamond,red,vert,up,"[0,150]","[106,-106]",up,1,1.4589,4,0,4,0,1,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[-106,106]]",circle,no_dis,vert,up,"[99999,99999]","[-106,106]",up,1,1.377,5,0,5,0,1,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,-106],[150,0]]",circle,red,hori,left,"[106,-106]","[150,0]",up,0,0.8674,6,0,6,0,1,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[106,106],[-150,0]]",diamond,red,vert,up,"[106,106]","[-150,0]",up,1,1.2281,7,0,7,0,1,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,-106],[-106,106]]",diamond,red,vert,up,"[-106,-106]","[-106,106]",up,1,2.4776,8,0,8,0,1,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,106],[106,-106]]",circle,red,vert,up,"[-106,106]","[106,-106]",up,1,1.4298,9,0,9,0,1,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[150,0],[-150,0]]",diamond,red,hori,left,"[150,0]","[-150,0]",up,0,1.0063,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,space,10.2375,0,0,0,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[106,-106]",up,1,2.4779,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,1,0,1,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[150,0],[0,-150]]",circle,red,vert,up,"[150,0]","[0,-150]",up,1,1.5849,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,2,0,2,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,1.38,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,3,0,3,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[0,150],[106,-106]]",diamond,red,vert,up,"[0,150]","[106,-106]",up,1,1.1928,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,4,0,4,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[-106,106]]",circle,no_dis,vert,up,"[99999,99999]","[-106,106]",up,1,1.8705,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,5,0,5,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,-106],[150,0]]",circle,red,hori,left,"[106,-106]","[150,0]",left,1,1.6431,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,6,0,6,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[106,106],[-150,0]]",diamond,red,vert,up,"[106,106]","[-150,0]",up,1,1.4626,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,7,0,7,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,-106],[-106,106]]",diamond,red,vert,up,"[-106,-106]","[-106,106]",up,1,1.0976,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,8,0,8,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,106],[106,-106]]",circle,red,vert,up,"[-106,106]","[106,-106]",up,1,1.1477,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,9,0,9,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[0,-150],[-106,-106]]",circle,green,vert,up,"[0,-150]","[-106,-106]",up,1,1.4617,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,10,0,10,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,-106],[0,150]]",circle,red,hori,left,"[106,-106]","[0,150]",left,1,0.9522,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,11,0,11,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[0,150],[0,-150]]",circle,red,vert,up,"[0,150]","[0,-150]",up,1,1.9398,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,12,0,12,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-150,0],[0,-150]]",circle,red,vert,up,"[-150,0]","[0,-150]",up,1,1.005,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,13,0,13,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,106],[-150,0]]",diamond,red,vert,up,"[-106,106]","[-150,0]",up,1,1.1946,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,14,0,14,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[106,-106]]",circle,no_dis,hori,left,"[99999,99999]","[106,-106]",left,1,1.0201,,,,,,001,2025-03-18_09h53.53.115,SL_sali_41,2021.2.3,Win32,30.03003003,,,15,0,15,0,1,,,,,,,,
