﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,66.9378,"[""diamond"",""green"",""hori"",""left"",[150,0],[0,-150]]",diamond,green,hori,left,"[150,0]","[0,-150]",up,0,1.9448,0,0,0,0,1,001,2025-03-10_16h57.55.178,SL_base_41,2021.2.3,Win32,120.7437817,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[106,106],[150,0]]",circle,green,vert,up,"[106,106]","[150,0]",up,1,2.4434,1,0,1,0,1,001,2025-03-10_16h57.55.178,SL_base_41,2021.2.3,Win32,120.7437817,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,-106],[-150,0]]",diamond,red,hori,left,"[-106,-106]","[-150,0]",left,1,2.7159,2,0,2,0,1,001,2025-03-10_16h57.55.178,SL_base_41,2021.2.3,Win32,120.7437817,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[150,0],[0,-150]]",circle,red,vert,up,"[150,0]","[0,-150]",left,0,2.1185,3,0,3,0,1,001,2025-03-10_16h57.55.178,SL_base_41,2021.2.3,Win32,120.7437817,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[150,0],[-106,-106]]",diamond,green,vert,up,"[150,0]","[-106,-106]",left,0,1.3092,4,0,4,0,1,001,2025-03-10_16h57.55.178,SL_base_41,2021.2.3,Win32,120.7437817,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-150,0],[-106,106]]",diamond,red,vert,up,"[-150,0]","[-106,106]",,0,,5,0,5,0,1,001,2025-03-10_16h57.55.178,SL_base_41,2021.2.3,Win32,120.7437817,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[106,-106],[0,150]]",diamond,green,vert,up,"[106,-106]","[0,150]",left,0,1.4569,6,0,6,0,1,001,2025-03-10_16h57.55.178,SL_base_41,2021.2.3,Win32,120.7437817,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[-106,-106],[0,150]]",circle,green,vert,up,"[-106,-106]","[0,150]",up,1,1.279,7,0,7,0,1,001,2025-03-10_16h57.55.178,SL_base_41,2021.2.3,Win32,120.7437817,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[106,106],[0,-150]]",diamond,red,hori,left,"[106,106]","[0,-150]",left,1,1.6769,8,0,8,0,1,001,2025-03-10_16h57.55.178,SL_base_41,2021.2.3,Win32,120.7437817,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",circle,no_dis,vert,up,"[99999,99999]","[150,0]",,0,,9,0,9,0,1,001,2025-03-10_16h57.55.178,SL_base_41,2021.2.3,Win32,120.7437817,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[150,0],[0,-150]]",diamond,green,hori,left,"[150,0]","[0,-150]",left,1,2.1428,,,,,,001,2025-03-10_16h57.55.178,SL_base_41,2021.2.3,Win32,120.7437817,space,22.9266,0,0,0,0,1,,,,,,,,
