﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,3.1945,"[""diamond"",""red"",""vert"",""up"",[-150,0],[106,106]]",diamond,red,vert,up,"[-150,0]","[106,106]",up,1,1.4018,0,0,0,0,1,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[150,0],[-106,-106]]",circle,green,vert,up,"[150,0]","[-106,-106]",up,1,1.2256,1,0,1,0,1,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-150,0]]",diamond,no_dis,vert,up,"[99999,99999]","[-150,0]",left,0,1.2772,2,0,2,0,1,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,150],[0,-150]]",diamond,red,hori,left,"[0,150]","[0,-150]",left,1,1.7135,3,0,3,0,1,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[150,0]]",diamond,red,hori,left,"[0,-150]","[150,0]",left,1,1.175,4,0,4,0,1,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,150],[106,106]]",diamond,green,vert,up,"[0,150]","[106,106]",up,1,0.8959,5,0,5,0,1,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[150,0],[-106,-106]]",diamond,red,hori,left,"[150,0]","[-106,-106]",left,1,1.0415,6,0,6,0,1,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[0,150],[106,-106]]",circle,red,vert,up,"[0,150]","[106,-106]",up,1,1.0439,7,0,7,0,1,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",diamond,no_dis,vert,up,"[99999,99999]","[150,0]",up,1,1.5581,8,0,8,0,1,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[0,150],[150,0]]",circle,green,hori,left,"[0,150]","[150,0]",left,1,1.3375,9,0,9,0,1,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-150,0],[106,106]]",diamond,red,vert,up,"[-150,0]","[106,106]",up,1,0.9281,,,,,,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,space,2.9777,0,0,0,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[150,0],[-106,-106]]",circle,green,vert,up,"[150,0]","[-106,-106]",up,1,0.9111,,,,,,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,1,0,1,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-150,0]]",diamond,no_dis,vert,up,"[99999,99999]","[-150,0]",up,1,1.0835,,,,,,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,2,0,2,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,150],[0,-150]]",diamond,red,hori,left,"[0,150]","[0,-150]",up,0,1.5323,,,,,,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,3,0,3,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[150,0]]",diamond,red,hori,left,"[0,-150]","[150,0]",left,1,0.9918,,,,,,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,4,0,4,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,150],[106,106]]",diamond,green,vert,up,"[0,150]","[106,106]",up,1,1.6754,,,,,,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,5,0,5,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[150,0],[-106,-106]]",diamond,red,hori,left,"[150,0]","[-106,-106]",left,1,1.0435,,,,,,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,6,0,6,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[0,150],[106,-106]]",circle,red,vert,up,"[0,150]","[106,-106]",up,1,1.0024,,,,,,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,7,0,7,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",diamond,no_dis,vert,up,"[99999,99999]","[150,0]",up,1,0.9571,,,,,,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,8,0,8,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[0,150],[150,0]]",circle,green,hori,left,"[0,150]","[150,0]",left,1,1.0628,,,,,,001,2025-03-10_18h29.56.760,SL_base_41,2021.2.3,Win32,60.33910577,,,9,0,9,0,1,,,,,,,,
