﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,87.74,"[""circle"",""red"",""vert"",""up"",[150,0],[-106,106]]",circle,red,vert,up,"[150,0]","[-106,106]",up,1,1.1542,0,0,0,0,1,001,2025-03-17_14h42.06.313,SL_sali,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-150,0],[0,150]]",circle,red,vert,up,"[-150,0]","[0,150]",left,0,0.5613,1,0,1,0,1,001,2025-03-17_14h42.06.313,SL_sali,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[106,-106]",,0,,2,0,2,0,1,001,2025-03-17_14h42.06.313,SL_sali,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[150,0],[0,150]]",diamond,red,vert,up,"[150,0]","[0,150]",up,1,1.3546,3,0,3,0,1,001,2025-03-17_14h42.06.313,SL_sali,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[106,106],[-106,106]]",diamond,red,hori,left,"[106,106]","[-106,106]",up,0,0.6417,4,0,4,0,1,001,2025-03-17_14h42.06.313,SL_sali,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",circle,no_dis,hori,left,"[99999,99999]","[0,-150]",up,0,1.1672,5,0,5,0,1,001,2025-03-17_14h42.06.313,SL_sali,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[0,150]]",circle,no_dis,vert,up,"[99999,99999]","[0,150]",up,1,1.6613,6,0,6,0,1,001,2025-03-17_14h42.06.313,SL_sali,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,-150],[150,0]]",circle,red,hori,left,"[0,-150]","[150,0]",left,1,1.1224,7,0,7,0,1,001,2025-03-17_14h42.06.313,SL_sali,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-150,0],[106,106]]",diamond,red,vert,up,"[-150,0]","[106,106]",up,1,1.1715,8,0,8,0,1,001,2025-03-17_14h42.06.313,SL_sali,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-150,0]]",diamond,no_dis,vert,up,"[99999,99999]","[-150,0]",up,1,1.3341,9,0,9,0,1,001,2025-03-17_14h42.06.313,SL_sali,2021.2.3,Win32,60.17571308,,,,,,,,,,,,,,,
