﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,76.56,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",circle,no_dis,vert,up,"[99999,99999]","[150,0]",up,1,2.6282,0,0,0,0,1,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[106,106],[150,0]]",diamond,red,hori,left,"[106,106]","[150,0]",up,0,2.0985,1,0,1,0,1,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[106,106],[106,-106]]",circle,red,vert,up,"[106,106]","[106,-106]",up,1,2.7856,2,0,2,0,1,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,106]",up,1,1.7777,3,0,3,0,1,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,-106],[0,150]]",diamond,red,hori,left,"[-106,-106]","[0,150]",left,1,2.5795,4,0,4,0,1,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,-106],[106,-106]]",diamond,red,vert,up,"[-106,-106]","[106,-106]",up,1,1.8125,5,0,5,0,1,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[-106,106],[106,-106]]",circle,green,vert,up,"[-106,106]","[106,-106]",up,1,1.9503,6,0,6,0,1,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-150,0],[0,-150]]",diamond,green,vert,up,"[-150,0]","[0,-150]",up,1,1.8833,7,0,7,0,1,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,-106],[106,106]]",diamond,green,hori,left,"[106,-106]","[106,106]",left,1,1.4628,8,0,8,0,1,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[0,150]]",circle,no_dis,hori,left,"[99999,99999]","[0,150]",left,1,2.8747,9,0,9,0,1,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",circle,no_dis,vert,up,"[99999,99999]","[150,0]",up,1,1.2783,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,space,12.9174,0,0,0,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[106,106],[150,0]]",diamond,red,hori,left,"[106,106]","[150,0]",left,1,1.4661,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,1,0,1,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[106,106],[106,-106]]",circle,red,vert,up,"[106,106]","[106,-106]",up,1,2.0598,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,2,0,2,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,106]",up,1,1.5605,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,3,0,3,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,-106],[0,150]]",diamond,red,hori,left,"[-106,-106]","[0,150]",left,1,1.5539,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,4,0,4,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,-106],[106,-106]]",diamond,red,vert,up,"[-106,-106]","[106,-106]",up,1,1.1914,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,5,0,5,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[-106,106],[106,-106]]",circle,green,vert,up,"[-106,106]","[106,-106]",up,1,1.6676,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,6,0,6,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-150,0],[0,-150]]",diamond,green,vert,up,"[-150,0]","[0,-150]",up,1,1.6165,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,7,0,7,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,-106],[106,106]]",diamond,green,hori,left,"[106,-106]","[106,106]",left,1,1.7395,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,8,0,8,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[0,150]]",circle,no_dis,hori,left,"[99999,99999]","[0,150]",left,1,1.9622,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,9,0,9,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,150],[150,0]]",diamond,red,hori,left,"[0,150]","[150,0]",left,1,1.5787,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,10,0,10,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[-150,0]]",diamond,no_dis,hori,left,"[99999,99999]","[-150,0]",left,1,1.5864,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,11,0,11,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,-106],[106,106]]",diamond,red,vert,up,"[-106,-106]","[106,106]",up,1,2.0103,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,12,0,12,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[106,-106],[-106,-106]]",circle,green,hori,left,"[106,-106]","[-106,-106]",left,1,1.4697,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,13,0,13,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",circle,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,1.1852,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,14,0,14,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[0,-150],[150,0]]",diamond,red,vert,up,"[0,-150]","[150,0]",up,1,1.1347,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,15,0,15,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[106,106],[-106,106]]",diamond,green,vert,up,"[106,106]","[-106,106]",up,1,0.6714,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,16,0,16,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-106,106]]",circle,no_dis,hori,left,"[99999,99999]","[-106,106]",left,1,0.8994,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,17,0,17,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",circle,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,1.1767,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,18,0,18,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[106,106],[150,0]]",diamond,red,hori,left,"[106,106]","[150,0]",,0,,,,,,,001,2025-03-11_19h33.43.391,SL_sali,2021.2.3,Win32,59.52380952,,,19,0,19,0,1,,,,,,,,
