﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,63.0031,"[""circle"",""red"",""hori"",""left"",[0,-150],[-106,106]]",circle,red,hori,left,"[0,-150]","[-106,106]",up,0,1.9085,0,0,0,0,1,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,106],[-106,106]]",diamond,green,hori,left,"[106,106]","[-106,106]",up,0,2.2938,1,0,1,0,1,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[150,0],[-106,-106]]",diamond,red,hori,left,"[150,0]","[-106,-106]",,0,,2,0,2,0,1,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[150,0],[106,106]]",circle,red,vert,up,"[150,0]","[106,106]",,0,,3,0,3,0,1,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,-150],[-106,-106]]",circle,red,hori,left,"[0,-150]","[-106,-106]",left,1,2.1001,4,0,4,0,1,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,-106],[0,150]]",diamond,red,hori,left,"[-106,-106]","[0,150]",up,0,1.6332,5,0,5,0,1,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-150,0],[106,-106]]",circle,red,vert,up,"[-150,0]","[106,-106]",left,0,2.4498,6,0,6,0,1,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[150,0],[106,-106]]",diamond,green,vert,up,"[150,0]","[106,-106]",up,1,1.4833,7,0,7,0,1,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",circle,no_dis,vert,up,"[99999,99999]","[150,0]",up,1,2.0395,8,0,8,0,1,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[106,-106],[150,0]]",diamond,red,vert,up,"[106,-106]","[150,0]",left,0,1.3995,9,0,9,0,1,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,-150],[-106,106]]",circle,red,hori,left,"[0,-150]","[-106,106]",left,1,1.6571,,,,,,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,space,22.8352,0,0,0,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,106],[-106,106]]",diamond,green,hori,left,"[106,106]","[-106,106]",left,1,2.2131,,,,,,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,1,0,1,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[150,0],[-106,-106]]",diamond,red,hori,left,"[150,0]","[-106,-106]",left,1,2.8054,,,,,,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,2,0,2,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[150,0],[106,106]]",circle,red,vert,up,"[150,0]","[106,106]",up,1,2.4142,,,,,,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,3,0,3,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,-150],[-106,-106]]",circle,red,hori,left,"[0,-150]","[-106,-106]",left,1,2.0994,,,,,,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,4,0,4,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,-106],[0,150]]",diamond,red,hori,left,"[-106,-106]","[0,150]",left,1,2.2509,,,,,,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,5,0,5,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-150,0],[106,-106]]",circle,red,vert,up,"[-150,0]","[106,-106]",up,1,2.4494,,,,,,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,6,0,6,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[150,0],[106,-106]]",diamond,green,vert,up,"[150,0]","[106,-106]",up,1,2.3492,,,,,,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,7,0,7,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",circle,no_dis,vert,up,"[99999,99999]","[150,0]",up,1,1.9236,,,,,,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,8,0,8,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[106,-106],[150,0]]",diamond,red,vert,up,"[106,-106]","[150,0]",left,0,1.5303,,,,,,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,9,0,9,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,-106],[0,-150]]",circle,green,hori,left,"[-106,-106]","[0,-150]",left,1,2.0999,,,,,,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,10,0,10,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,-106],[0,150]]",circle,red,vert,up,"[-106,-106]","[0,150]",up,1,1.7891,,,,,,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,11,0,11,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[150,0],[106,-106]]",circle,green,vert,up,"[150,0]","[106,-106]",up,1,2.3368,,,,,,001,2025-03-11_21h02.39.603,SL_sali,2021.2.3,Win32,59.88023952,,,12,0,12,0,1,,,,,,,,
