﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,102.5312,"[""diamond"",""red"",""hori"",""left"",[150,0],[-106,106]]",diamond,red,hori,left,"[150,0]","[-106,106]",left,1,1.2928,0,0,0,0,1,001,2025-03-10_22h32.57.399,SL_base,2021.2.3,Win32,60.04202942,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[-150,0],[106,-106]]",diamond,green,hori,left,"[-150,0]","[106,-106]",left,1,0.895,1,0,1,0,1,001,2025-03-10_22h32.57.399,SL_base,2021.2.3,Win32,60.04202942,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[150,0],[-106,-106]]",diamond,green,hori,left,"[150,0]","[-106,-106]",left,1,0.9005,2,0,2,0,1,001,2025-03-10_22h32.57.399,SL_base,2021.2.3,Win32,60.04202942,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,-106]",left,0,0.7185,3,0,3,0,1,001,2025-03-10_22h32.57.399,SL_base,2021.2.3,Win32,60.04202942,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,150],[0,-150]]",circle,red,hori,left,"[0,150]","[0,-150]",left,1,0.9138,4,0,4,0,1,001,2025-03-10_22h32.57.399,SL_base,2021.2.3,Win32,60.04202942,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",diamond,no_dis,vert,up,"[99999,99999]","[150,0]",up,1,1.2186,5,0,5,0,1,001,2025-03-10_22h32.57.399,SL_base,2021.2.3,Win32,60.04202942,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[106,106],[-150,0]]",circle,green,hori,left,"[106,106]","[-150,0]",left,1,0.8582,6,0,6,0,1,001,2025-03-10_22h32.57.399,SL_base,2021.2.3,Win32,60.04202942,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[106,-106],[0,150]]",diamond,green,vert,up,"[106,-106]","[0,150]",up,1,1.0525,7,0,7,0,1,001,2025-03-10_22h32.57.399,SL_base,2021.2.3,Win32,60.04202942,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[106,106],[0,-150]]",diamond,red,hori,left,"[106,106]","[0,-150]",left,1,1.1227,8,0,8,0,1,001,2025-03-10_22h32.57.399,SL_base,2021.2.3,Win32,60.04202942,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,106],[106,106]]",circle,green,hori,left,"[-106,106]","[106,106]",left,1,1.4814,9,0,9,0,1,001,2025-03-10_22h32.57.399,SL_base,2021.2.3,Win32,60.04202942,,,,,,,,,,,,,,,
