﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,197.3437,"[""circle"",""red"",""hori"",""left"",[106,-106],[0,-150]]",circle,red,hori,left,"[106,-106]","[0,-150]",left,1,1.6663,0,0,0,0,1,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-150,0],[0,150]]",diamond,red,vert,up,"[-150,0]","[0,150]",,0,,1,0,1,0,1,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,106],[-106,-106]]",diamond,green,hori,left,"[106,106]","[-106,-106]",up,0,1.4658,2,0,2,0,1,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,2.2006,3,0,3,0,1,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,150],[150,0]]",diamond,green,vert,up,"[0,150]","[150,0]",left,0,1.9429,4,0,4,0,1,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-150,0],[0,150]]",circle,red,vert,up,"[-150,0]","[0,150]",up,1,2.5475,5,0,5,0,1,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,150],[-150,0]]",diamond,green,hori,left,"[0,150]","[-150,0]",left,1,2.882,6,0,6,0,1,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[150,0]]",circle,no_dis,hori,left,"[99999,99999]","[150,0]",left,1,1.991,7,0,7,0,1,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[-150,0]]",circle,no_dis,vert,up,"[99999,99999]","[-150,0]",left,0,2.7684,8,0,8,0,1,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[106,106],[-150,0]]",diamond,red,hori,left,"[106,106]","[-150,0]",left,1,0.9968,9,0,9,0,1,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,-106],[0,-150]]",circle,red,hori,left,"[106,-106]","[0,-150]",left,1,0.7754,,,,,,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,space,13.3696,0,0,0,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-150,0],[0,150]]",diamond,red,vert,up,"[-150,0]","[0,150]",,0,,,,,,,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,1,0,1,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,106],[-106,-106]]",diamond,green,hori,left,"[106,106]","[-106,-106]",left,1,2.2268,,,,,,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,2,0,2,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,2.4857,,,,,,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,3,0,3,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,150],[150,0]]",diamond,green,vert,up,"[0,150]","[150,0]",up,1,1.2059,,,,,,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,4,0,4,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-150,0],[0,150]]",circle,red,vert,up,"[-150,0]","[0,150]",up,1,1.4854,,,,,,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,5,0,5,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,150],[-150,0]]",diamond,green,hori,left,"[0,150]","[-150,0]",left,1,2.003,,,,,,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,6,0,6,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[150,0]]",circle,no_dis,hori,left,"[99999,99999]","[150,0]",left,1,0.7428,,,,,,001,2025-03-10_17h38.31.991,SL_base,2021.2.3,Win32,142.8571429,,,7,0,7,0,1,,,,,,,,
