﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,68.3268,"[""diamond"",""red"",""hori"",""left"",[150,0],[106,106]]",diamond,red,hori,left,"[150,0]","[106,106]",left,1,2.3271,0,0,0,0,1,001,2025-03-17_15h41.35.244,SL_base,2021.2.3,Win32,59.84082341,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[-106,-106]]",diamond,no_dis,hori,left,"[99999,99999]","[-106,-106]",left,1,1.1431,1,0,1,0,1,001,2025-03-17_15h41.35.244,SL_base,2021.2.3,Win32,59.84082341,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[150,0],[-150,0]]",diamond,green,hori,left,"[150,0]","[-150,0]",left,1,0.9657,2,0,2,0,1,001,2025-03-17_15h41.35.244,SL_base,2021.2.3,Win32,59.84082341,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[-106,106]]",circle,no_dis,vert,up,"[99999,99999]","[-106,106]",up,1,0.6306,3,0,3,0,1,001,2025-03-17_15h41.35.244,SL_base,2021.2.3,Win32,59.84082341,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[150,0],[-106,-106]]",circle,red,hori,left,"[150,0]","[-106,-106]",left,1,1.2916,4,0,4,0,1,001,2025-03-17_15h41.35.244,SL_base,2021.2.3,Win32,59.84082341,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[106,106]]",diamond,no_dis,hori,left,"[99999,99999]","[106,106]",left,1,1.2983,5,0,5,0,1,001,2025-03-17_15h41.35.244,SL_base,2021.2.3,Win32,59.84082341,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[106,106],[-150,0]]",circle,green,vert,up,"[106,106]","[-150,0]",up,1,1.76,6,0,6,0,1,001,2025-03-17_15h41.35.244,SL_base,2021.2.3,Win32,59.84082341,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[150,0],[106,106]]",diamond,red,hori,left,"[150,0]","[106,106]",left,1,1.6721,7,0,7,0,1,001,2025-03-17_15h41.35.244,SL_base,2021.2.3,Win32,59.84082341,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[106,-106]",up,1,0.9822,8,0,8,0,1,001,2025-03-17_15h41.35.244,SL_base,2021.2.3,Win32,59.84082341,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,-106],[0,150]]",diamond,red,hori,left,"[-106,-106]","[0,150]",left,1,2.0722,9,0,9,0,1,001,2025-03-17_15h41.35.244,SL_base,2021.2.3,Win32,59.84082341,,,,,,,,,,,,,,,
